,Entity,Year,Country code,Life Expectancy at Birth (both genders),Life-Threatening-events
0,Afghanistan,1950,AFG,27.706,
1,Afghanistan,1951,AFG,27.706,
2,Afghanistan,1952,AFG,27.706,
3,Afghanistan,1953,AFG,27.706,
4,Afghanistan,1954,AFG,27.706,
5,Afghanistan,1955,AFG,30.284,
6,Afghanistan,1956,AFG,30.284,
7,Afghanistan,1957,AFG,30.284,
8,Afghanistan,1958,AFG,30.284,
9,Afghanistan,1959,AFG,30.284,
10,Afghanistan,1960,AFG,32.862,
11,Afghanistan,1961,AFG,32.862,
12,Afghanistan,1962,AFG,32.862,
13,Afghanistan,1963,AFG,32.862,
14,Afghanistan,1964,AFG,32.862,
15,Afghanistan,1965,AFG,35.419,
16,Afghanistan,1966,AFG,35.419,
17,Afghanistan,1967,AFG,35.419,
18,Afghanistan,1968,AFG,35.419,
19,Afghanistan,1969,AFG,35.419,
20,Afghanistan,1970,AFG,37.861,
21,Afghanistan,1971,AFG,37.861,
22,Afghanistan,1972,AFG,37.861,
23,Afghanistan,1973,AFG,37.861,
24,Afghanistan,1974,AFG,37.861,
25,Afghanistan,1975,AFG,40.11,
26,Afghanistan,1976,AFG,40.11,
27,Afghanistan,1977,AFG,40.11,
28,Afghanistan,1978,AFG,40.11,
29,Afghanistan,1979,AFG,40.11,
30,Afghanistan,1980,AFG,42.617,
31,Afghanistan,1981,AFG,42.617,
32,Afghanistan,1982,AFG,42.617,
33,Afghanistan,1983,AFG,42.617,
34,Afghanistan,1984,AFG,42.617,
35,Afghanistan,1985,AFG,46.441,
36,Afghanistan,1986,AFG,46.441,
37,Afghanistan,1987,AFG,46.441,
38,Afghanistan,1988,AFG,46.441,
39,Afghanistan,1989,AFG,46.441,
40,Afghanistan,1990,AFG,50.659,
41,Afghanistan,1991,AFG,50.659,
42,Afghanistan,1992,AFG,50.659,
43,Afghanistan,1993,AFG,50.659,
44,Afghanistan,1994,AFG,50.659,
45,Afghanistan,1995,AFG,53.809,
46,Afghanistan,1996,AFG,53.809,
47,Afghanistan,1997,AFG,53.809,
48,Afghanistan,1998,AFG,53.809,
49,Afghanistan,1999,AFG,53.809,
50,Afghanistan,2000,AFG,55.818,
51,Afghanistan,2001,AFG,55.818,
52,Afghanistan,2002,AFG,55.818,
53,Afghanistan,2003,AFG,55.818,
54,Afghanistan,2004,AFG,55.818,
55,Afghanistan,2005,AFG,58.37,
56,Afghanistan,2006,AFG,58.37,
57,Afghanistan,2007,AFG,58.37,
58,Afghanistan,2008,AFG,58.37,
59,Afghanistan,2009,AFG,58.37,
60,Albania,1950,ALB,55.262,
61,Albania,1951,ALB,55.262,
62,Albania,1952,ALB,55.262,
63,Albania,1953,ALB,55.262,
64,Albania,1954,ALB,55.262,
65,Albania,1955,ALB,59.317,
66,Albania,1956,ALB,59.317,
67,Albania,1957,ALB,59.317,
68,Albania,1958,ALB,59.317,
69,Albania,1959,ALB,59.317,
70,Albania,1960,ALB,64.861,
71,Albania,1961,ALB,64.861,
72,Albania,1962,ALB,64.861,
73,Albania,1963,ALB,64.861,
74,Albania,1964,ALB,64.861,
75,Albania,1965,ALB,66.25,
76,Albania,1966,ALB,66.25,
77,Albania,1967,ALB,66.25,
78,Albania,1968,ALB,66.25,
79,Albania,1969,ALB,66.25,
80,Albania,1970,ALB,67.707,
81,Albania,1971,ALB,67.707,
82,Albania,1972,ALB,67.707,
83,Albania,1973,ALB,67.707,
84,Albania,1974,ALB,67.707,
85,Albania,1975,ALB,69.709,
86,Albania,1976,ALB,69.709,
87,Albania,1977,ALB,69.709,
88,Albania,1978,ALB,69.709,
89,Albania,1979,ALB,69.709,
90,Albania,1980,ALB,70.623,
91,Albania,1981,ALB,70.623,
92,Albania,1982,ALB,70.623,
93,Albania,1983,ALB,70.623,
94,Albania,1984,ALB,70.623,
95,Albania,1985,ALB,71.99,
96,Albania,1986,ALB,71.99,
97,Albania,1987,ALB,71.99,
98,Albania,1988,ALB,71.99,
99,Albania,1989,ALB,71.99,
100,Albania,1990,ALB,71.689,
101,Albania,1991,ALB,71.689,
102,Albania,1992,ALB,71.689,
103,Albania,1993,ALB,71.689,
104,Albania,1994,ALB,71.689,
105,Albania,1995,ALB,72.948,
106,Albania,1996,ALB,72.948,
107,Albania,1997,ALB,72.948,
108,Albania,1998,ALB,72.948,
109,Albania,1999,ALB,72.948,
110,Albania,2000,ALB,75.404,
111,Albania,2001,ALB,75.404,
112,Albania,2002,ALB,75.404,
113,Albania,2003,ALB,75.404,
114,Albania,2004,ALB,75.404,
115,Albania,2005,ALB,76.281,
116,Albania,2006,ALB,76.281,
117,Albania,2007,ALB,76.281,
118,Albania,2008,ALB,76.281,
119,Albania,2009,ALB,76.281,
120,Algeria,1923,DZA,28.8224,
121,Algeria,1933,DZA,31.22,
122,Algeria,1943,DZA,33.72,
123,Algeria,1950,DZA,42.886,
124,Algeria,1951,DZA,42.886,
125,Algeria,1952,DZA,42.886,
126,Algeria,1953,DZA,42.886,
127,Algeria,1954,DZA,42.886,
128,Algeria,1955,DZA,44.999,
129,Algeria,1956,DZA,44.999,
130,Algeria,1957,DZA,44.999,
131,Algeria,1958,DZA,44.999,
132,Algeria,1959,DZA,44.999,
133,Algeria,1960,DZA,47.284,
134,Algeria,1961,DZA,47.284,
135,Algeria,1962,DZA,47.284,
136,Algeria,1963,DZA,47.284,
137,Algeria,1964,DZA,47.284,
138,Algeria,1965,DZA,49.464,
139,Algeria,1966,DZA,49.464,
140,Algeria,1967,DZA,49.464,
141,Algeria,1968,DZA,49.464,
142,Algeria,1969,DZA,49.464,
143,Algeria,1970,DZA,51.483,
144,Algeria,1971,DZA,51.483,
145,Algeria,1972,DZA,51.483,
146,Algeria,1973,DZA,51.483,
147,Algeria,1974,DZA,51.483,
148,Algeria,1975,DZA,54.934,
149,Algeria,1976,DZA,54.934,
150,Algeria,1977,DZA,54.934,
151,Algeria,1978,DZA,54.934,
152,Algeria,1979,DZA,54.934,
153,Algeria,1980,DZA,61.581,
154,Algeria,1981,DZA,61.581,
155,Algeria,1982,DZA,61.581,
156,Algeria,1983,DZA,61.581,
157,Algeria,1984,DZA,61.581,
158,Algeria,1985,DZA,65.868,
159,Algeria,1986,DZA,65.868,
160,Algeria,1987,DZA,65.868,
161,Algeria,1988,DZA,65.868,
162,Algeria,1989,DZA,65.868,
163,Algeria,1990,DZA,67.237,
164,Algeria,1991,DZA,67.237,
165,Algeria,1992,DZA,67.237,
166,Algeria,1993,DZA,67.237,
167,Algeria,1994,DZA,67.237,
168,Algeria,1995,DZA,68.464,
169,Algeria,1996,DZA,68.464,
170,Algeria,1997,DZA,68.464,
171,Algeria,1998,DZA,68.464,
172,Algeria,1999,DZA,68.464,
173,Algeria,2000,DZA,69.403,
174,Algeria,2001,DZA,69.403,
175,Algeria,2002,DZA,69.403,
176,Algeria,2003,DZA,69.403,
177,Algeria,2004,DZA,69.403,
178,Algeria,2005,DZA,70.261,
179,Algeria,2006,DZA,70.261,
180,Algeria,2007,DZA,70.261,
181,Algeria,2008,DZA,70.261,
182,Algeria,2009,DZA,70.261,
183,Angola,1940,AGO,26.98,
184,Angola,1950,AGO,30.003,
185,Angola,1951,AGO,30.003,
186,Angola,1952,AGO,30.003,
187,Angola,1953,AGO,30.003,
188,Angola,1954,AGO,30.003,
189,Angola,1955,AGO,31.996,
190,Angola,1956,AGO,31.996,
191,Angola,1957,AGO,31.996,
192,Angola,1958,AGO,31.996,
193,Angola,1959,AGO,31.996,
194,Angola,1960,AGO,34.002,
195,Angola,1961,AGO,34.002,
196,Angola,1962,AGO,34.002,
197,Angola,1963,AGO,34.002,
198,Angola,1964,AGO,34.002,
199,Angola,1965,AGO,36.009,
200,Angola,1966,AGO,36.009,
201,Angola,1967,AGO,36.009,
202,Angola,1968,AGO,36.009,
203,Angola,1969,AGO,36.009,
204,Angola,1970,AGO,38.011,
205,Angola,1971,AGO,38.011,
206,Angola,1972,AGO,38.011,
207,Angola,1973,AGO,38.011,
208,Angola,1974,AGO,38.011,
209,Angola,1975,AGO,39.777,
210,Angola,1976,AGO,39.777,
211,Angola,1977,AGO,39.777,
212,Angola,1978,AGO,39.777,
213,Angola,1979,AGO,39.777,
214,Angola,1980,AGO,40.419,
215,Angola,1981,AGO,40.419,
216,Angola,1982,AGO,40.419,
217,Angola,1983,AGO,40.419,
218,Angola,1984,AGO,40.419,
219,Angola,1985,AGO,41.115,
220,Angola,1986,AGO,41.115,
221,Angola,1987,AGO,41.115,
222,Angola,1988,AGO,41.115,
223,Angola,1989,AGO,41.115,
224,Angola,1990,AGO,41.389,
225,Angola,1991,AGO,41.389,
226,Angola,1992,AGO,41.389,
227,Angola,1993,AGO,41.389,
228,Angola,1994,AGO,41.389,
229,Angola,1995,AGO,43.307,
230,Angola,1996,AGO,43.307,
231,Angola,1997,AGO,43.307,
232,Angola,1998,AGO,43.307,
233,Angola,1999,AGO,43.307,
234,Angola,2000,AGO,47.242,
235,Angola,2001,AGO,47.242,
236,Angola,2002,AGO,47.242,
237,Angola,2003,AGO,47.242,
238,Angola,2004,AGO,47.242,
239,Angola,2005,AGO,49.626,
240,Angola,2006,AGO,49.626,
241,Angola,2007,AGO,49.626,
242,Angola,2008,AGO,49.626,
243,Angola,2009,AGO,49.626,
244,Antigua and Barbuda,1950,ATG,58.529,
245,Antigua and Barbuda,1951,ATG,58.529,
246,Antigua and Barbuda,1952,ATG,58.529,
247,Antigua and Barbuda,1953,ATG,58.529,
248,Antigua and Barbuda,1954,ATG,58.529,
249,Antigua and Barbuda,1955,ATG,60.942,
250,Antigua and Barbuda,1956,ATG,60.942,
251,Antigua and Barbuda,1957,ATG,60.942,
252,Antigua and Barbuda,1958,ATG,60.942,
253,Antigua and Barbuda,1959,ATG,60.942,
254,Antigua and Barbuda,1960,ATG,63.194,
255,Antigua and Barbuda,1961,ATG,63.194,
256,Antigua and Barbuda,1962,ATG,63.194,
257,Antigua and Barbuda,1963,ATG,63.194,
258,Antigua and Barbuda,1964,ATG,63.194,
259,Antigua and Barbuda,1965,ATG,65.017,
260,Antigua and Barbuda,1966,ATG,65.017,
261,Antigua and Barbuda,1967,ATG,65.017,
262,Antigua and Barbuda,1968,ATG,65.017,
263,Antigua and Barbuda,1969,ATG,65.017,
264,Antigua and Barbuda,1970,ATG,66.72,
265,Antigua and Barbuda,1971,ATG,66.72,
266,Antigua and Barbuda,1972,ATG,66.72,
267,Antigua and Barbuda,1973,ATG,66.72,
268,Antigua and Barbuda,1974,ATG,66.72,
269,Antigua and Barbuda,1975,ATG,68.182,
270,Antigua and Barbuda,1976,ATG,68.182,
271,Antigua and Barbuda,1977,ATG,68.182,
272,Antigua and Barbuda,1978,ATG,68.182,
273,Antigua and Barbuda,1979,ATG,68.182,
274,Antigua and Barbuda,1980,ATG,69.531,
275,Antigua and Barbuda,1981,ATG,69.531,
276,Antigua and Barbuda,1982,ATG,69.531,
277,Antigua and Barbuda,1983,ATG,69.531,
278,Antigua and Barbuda,1984,ATG,69.531,
279,Antigua and Barbuda,1985,ATG,70.8,
280,Antigua and Barbuda,1986,ATG,70.8,
281,Antigua and Barbuda,1987,ATG,70.8,
282,Antigua and Barbuda,1988,ATG,70.8,
283,Antigua and Barbuda,1989,ATG,70.8,
284,Antigua and Barbuda,1990,ATG,71.879,
285,Antigua and Barbuda,1991,ATG,71.879,
286,Antigua and Barbuda,1992,ATG,71.879,
287,Antigua and Barbuda,1993,ATG,71.879,
288,Antigua and Barbuda,1994,ATG,71.879,
289,Antigua and Barbuda,1995,ATG,72.998,
290,Antigua and Barbuda,1996,ATG,72.998,
291,Antigua and Barbuda,1997,ATG,72.998,
292,Antigua and Barbuda,1998,ATG,72.998,
293,Antigua and Barbuda,1999,ATG,72.998,
294,Antigua and Barbuda,2000,ATG,74.062,
295,Antigua and Barbuda,2001,ATG,74.062,
296,Antigua and Barbuda,2002,ATG,74.062,
297,Antigua and Barbuda,2003,ATG,74.062,
298,Antigua and Barbuda,2004,ATG,74.062,
299,Antigua and Barbuda,2005,ATG,74.996,
300,Antigua and Barbuda,2006,ATG,74.996,
301,Antigua and Barbuda,2007,ATG,74.996,
302,Antigua and Barbuda,2008,ATG,74.996,
303,Antigua and Barbuda,2009,ATG,74.996,
304,Argentina,1875,ARG,33.2,
305,Argentina,1880,ARG,33.1,
306,Argentina,1885,ARG,32.6,
307,Argentina,1890,ARG,34.0,
308,Argentina,1895,ARG,33.3,
309,Argentina,1900,ARG,39.0,
310,Argentina,1905,ARG,39.7,
311,Argentina,1910,ARG,44.2,
312,Argentina,1915,ARG,46.2,
313,Argentina,1920,ARG,48.65,
314,Argentina,1925,ARG,50.6,
315,Argentina,1930,ARG,52.55,
316,Argentina,1935,ARG,54.45,
317,Argentina,1940,ARG,56.45,
318,Argentina,1945,ARG,58.4,
319,Argentina,1950,ARG,62.544,
320,Argentina,1951,ARG,62.544,
321,Argentina,1952,ARG,62.544,
322,Argentina,1953,ARG,62.544,
323,Argentina,1954,ARG,62.544,
324,Argentina,1955,ARG,64.548,
325,Argentina,1956,ARG,64.548,
326,Argentina,1957,ARG,64.548,
327,Argentina,1958,ARG,64.548,
328,Argentina,1959,ARG,64.548,
329,Argentina,1960,ARG,65.267,
330,Argentina,1961,ARG,65.267,
331,Argentina,1962,ARG,65.267,
332,Argentina,1963,ARG,65.267,
333,Argentina,1964,ARG,65.267,
334,Argentina,1965,ARG,65.797,
335,Argentina,1966,ARG,65.797,
336,Argentina,1967,ARG,65.797,
337,Argentina,1968,ARG,65.797,
338,Argentina,1969,ARG,65.797,
339,Argentina,1970,ARG,67.239,
340,Argentina,1971,ARG,67.239,
341,Argentina,1972,ARG,67.239,
342,Argentina,1973,ARG,67.239,
343,Argentina,1974,ARG,67.239,
344,Argentina,1975,ARG,68.671,
345,Argentina,1976,ARG,68.671,
346,Argentina,1977,ARG,68.671,
347,Argentina,1978,ARG,68.671,
348,Argentina,1979,ARG,68.671,
349,Argentina,1980,ARG,70.17,
350,Argentina,1981,ARG,70.17,
351,Argentina,1982,ARG,70.17,
352,Argentina,1983,ARG,70.17,
353,Argentina,1984,ARG,70.17,
354,Argentina,1985,ARG,71.021,
355,Argentina,1986,ARG,71.021,
356,Argentina,1987,ARG,71.021,
357,Argentina,1988,ARG,71.021,
358,Argentina,1989,ARG,71.021,
359,Argentina,1990,ARG,72.149,
360,Argentina,1991,ARG,72.149,
361,Argentina,1992,ARG,72.149,
362,Argentina,1993,ARG,72.149,
363,Argentina,1994,ARG,72.149,
364,Argentina,1995,ARG,73.28,
365,Argentina,1996,ARG,73.28,
366,Argentina,1997,ARG,73.28,
367,Argentina,1998,ARG,73.28,
368,Argentina,1999,ARG,73.28,
369,Argentina,2000,ARG,74.34,
370,Argentina,2001,ARG,74.34,
371,Argentina,2002,ARG,74.34,
372,Argentina,2003,ARG,74.34,
373,Argentina,2004,ARG,74.34,
374,Argentina,2005,ARG,75.319,
375,Argentina,2006,ARG,75.319,
376,Argentina,2007,ARG,75.319,
377,Argentina,2008,ARG,75.319,
378,Argentina,2009,ARG,75.319,
379,Armenia,1950,ARM,62.812,
380,Armenia,1951,ARM,62.812,
381,Armenia,1952,ARM,62.812,
382,Armenia,1953,ARM,62.812,
383,Armenia,1954,ARM,62.812,
384,Armenia,1955,ARM,64.916,
385,Armenia,1956,ARM,64.916,
386,Armenia,1957,ARM,64.916,
387,Armenia,1958,ARM,64.916,
388,Armenia,1959,ARM,64.916,
389,Armenia,1960,ARM,67.03,
390,Armenia,1961,ARM,67.03,
391,Armenia,1962,ARM,67.03,
392,Armenia,1963,ARM,67.03,
393,Armenia,1964,ARM,67.03,
394,Armenia,1965,ARM,69.179,
395,Armenia,1966,ARM,69.179,
396,Armenia,1967,ARM,69.179,
397,Armenia,1968,ARM,69.179,
398,Armenia,1969,ARM,69.179,
399,Armenia,1970,ARM,70.756,
400,Armenia,1971,ARM,70.756,
401,Armenia,1972,ARM,70.756,
402,Armenia,1973,ARM,70.756,
403,Armenia,1974,ARM,70.756,
404,Armenia,1975,ARM,70.594,
405,Armenia,1976,ARM,70.594,
406,Armenia,1977,ARM,70.594,
407,Armenia,1978,ARM,70.594,
408,Armenia,1979,ARM,70.594,
409,Armenia,1980,ARM,70.919,
410,Armenia,1981,ARM,70.919,
411,Armenia,1982,ARM,70.919,
412,Armenia,1983,ARM,70.919,
413,Armenia,1984,ARM,70.919,
414,Armenia,1985,ARM,68.393,
415,Armenia,1986,ARM,68.393,
416,Armenia,1987,ARM,68.393,
417,Armenia,1988,ARM,68.393,
418,Armenia,1989,ARM,68.393,
419,Armenia,1990,ARM,68.06,
420,Armenia,1991,ARM,68.06,
421,Armenia,1992,ARM,68.06,
422,Armenia,1993,ARM,68.06,
423,Armenia,1994,ARM,68.06,
424,Armenia,1995,ARM,70.198,
425,Armenia,1996,ARM,70.198,
426,Armenia,1997,ARM,70.198,
427,Armenia,1998,ARM,70.198,
428,Armenia,1999,ARM,70.198,
429,Armenia,2000,ARM,72.675,
430,Armenia,2001,ARM,72.675,
431,Armenia,2002,ARM,72.675,
432,Armenia,2003,ARM,72.675,
433,Armenia,2004,ARM,72.675,
434,Armenia,2005,ARM,74.001,
435,Armenia,2006,ARM,74.001,
436,Armenia,2007,ARM,74.001,
437,Armenia,2008,ARM,74.001,
438,Armenia,2009,ARM,74.001,
439,Aruba,1950,ABW,60.437,
440,Aruba,1951,ABW,60.437,
441,Aruba,1952,ABW,60.437,
442,Aruba,1953,ABW,60.437,
443,Aruba,1954,ABW,60.437,
444,Aruba,1955,ABW,64.38,
445,Aruba,1956,ABW,64.38,
446,Aruba,1957,ABW,64.38,
447,Aruba,1958,ABW,64.38,
448,Aruba,1959,ABW,64.38,
449,Aruba,1960,ABW,66.58,
450,Aruba,1961,ABW,66.58,
451,Aruba,1962,ABW,66.58,
452,Aruba,1963,ABW,66.58,
453,Aruba,1964,ABW,66.58,
454,Aruba,1965,ABW,68.218,
455,Aruba,1966,ABW,68.218,
456,Aruba,1967,ABW,68.218,
457,Aruba,1968,ABW,68.218,
458,Aruba,1969,ABW,68.218,
459,Aruba,1970,ABW,70.038,
460,Aruba,1971,ABW,70.038,
461,Aruba,1972,ABW,70.038,
462,Aruba,1973,ABW,70.038,
463,Aruba,1974,ABW,70.038,
464,Aruba,1975,ABW,71.549,
465,Aruba,1976,ABW,71.549,
466,Aruba,1977,ABW,71.549,
467,Aruba,1978,ABW,71.549,
468,Aruba,1979,ABW,71.549,
469,Aruba,1980,ABW,72.872,
470,Aruba,1981,ABW,72.872,
471,Aruba,1982,ABW,72.872,
472,Aruba,1983,ABW,72.872,
473,Aruba,1984,ABW,72.872,
474,Aruba,1985,ABW,73.321,
475,Aruba,1986,ABW,73.321,
476,Aruba,1987,ABW,73.321,
477,Aruba,1988,ABW,73.321,
478,Aruba,1989,ABW,73.321,
479,Aruba,1990,ABW,73.562,
480,Aruba,1991,ABW,73.562,
481,Aruba,1992,ABW,73.562,
482,Aruba,1993,ABW,73.562,
483,Aruba,1994,ABW,73.562,
484,Aruba,1995,ABW,73.69,
485,Aruba,1996,ABW,73.69,
486,Aruba,1997,ABW,73.69,
487,Aruba,1998,ABW,73.69,
488,Aruba,1999,ABW,73.69,
489,Aruba,2000,ABW,73.971,
490,Aruba,2001,ABW,73.971,
491,Aruba,2002,ABW,73.971,
492,Aruba,2003,ABW,73.971,
493,Aruba,2004,ABW,73.971,
494,Aruba,2005,ABW,74.721,
495,Aruba,2006,ABW,74.721,
496,Aruba,2007,ABW,74.721,
497,Aruba,2008,ABW,74.721,
498,Aruba,2009,ABW,74.721,
499,Australia,1885,AUS,49.05,
500,Australia,1895,AUS,52.95,
501,Australia,1905,AUS,57.0,
502,Australia,1921,AUS,61.0,
503,Australia,1922,AUS,62.85,
504,Australia,1923,AUS,61.68,
505,Australia,1924,AUS,62.47,
506,Australia,1925,AUS,63.16,
507,Australia,1926,AUS,62.86,
508,Australia,1927,AUS,62.83,
509,Australia,1928,AUS,62.9,
510,Australia,1929,AUS,63.07,
511,Australia,1930,AUS,64.89,
512,Australia,1931,AUS,65.3,
513,Australia,1932,AUS,65.59,
514,Australia,1933,AUS,65.44,
515,Australia,1934,AUS,64.81,
516,Australia,1935,AUS,65.09,
517,Australia,1936,AUS,65.22,
518,Australia,1937,AUS,65.78,
519,Australia,1938,AUS,65.81,
520,Australia,1939,AUS,65.78,
521,Australia,1940,AUS,66.23,
522,Australia,1941,AUS,66.11,
523,Australia,1942,AUS,65.85,
524,Australia,1943,AUS,66.38,
525,Australia,1944,AUS,68.02,
526,Australia,1945,AUS,68.45,
527,Australia,1946,AUS,67.97,
528,Australia,1947,AUS,68.58,
529,Australia,1948,AUS,68.5,
530,Australia,1949,AUS,69.13,
531,Australia,1950,AUS,69.02,
532,Australia,1951,AUS,68.72,
533,Australia,1952,AUS,69.12,
534,Australia,1953,AUS,69.7,
535,Australia,1954,AUS,69.86,
536,Australia,1955,AUS,70.16,
537,Australia,1956,AUS,70.04,
538,Australia,1957,AUS,70.32,
539,Australia,1958,AUS,70.87,
540,Australia,1959,AUS,70.44,
541,Australia,1960,AUS,70.87,
542,Australia,1961,AUS,71.13,
543,Australia,1962,AUS,70.9,
544,Australia,1963,AUS,70.95,
545,Australia,1964,AUS,70.59,
546,Australia,1965,AUS,70.92,
547,Australia,1966,AUS,70.77,
548,Australia,1967,AUS,71.04,
549,Australia,1968,AUS,70.67,
550,Australia,1969,AUS,71.08,
551,Australia,1970,AUS,70.74,
552,Australia,1971,AUS,71.35,
553,Australia,1972,AUS,71.87,
554,Australia,1973,AUS,72.06,
555,Australia,1974,AUS,71.82,
556,Australia,1975,AUS,72.77,
557,Australia,1976,AUS,72.81,
558,Australia,1977,AUS,73.4,
559,Australia,1978,AUS,73.79,
560,Australia,1979,AUS,74.34,
561,Australia,1980,AUS,74.5,
562,Australia,1981,AUS,74.86,
563,Australia,1982,AUS,74.63,
564,Australia,1983,AUS,75.44,
565,Australia,1984,AUS,75.9,
566,Australia,1985,AUS,75.34,
567,Australia,1986,AUS,76.01,
568,Australia,1987,AUS,76.19,
569,Australia,1988,AUS,76.23,
570,Australia,1989,AUS,76.33,
571,Australia,1990,AUS,76.92,
572,Australia,1991,AUS,77.41,
573,Australia,1992,AUS,77.41,
574,Australia,1993,AUS,77.94,
575,Australia,1994,AUS,77.93,
576,Australia,1995,AUS,78.31,
577,Australia,1996,AUS,78.38,
578,Australia,1997,AUS,78.65,
579,Australia,1998,AUS,79.13,
580,Australia,1999,AUS,79.38,
581,Australia,2000,AUS,79.78,
582,Australia,2001,AUS,80.13,
583,Australia,2002,AUS,80.14,
584,Australia,2003,AUS,80.55,
585,Australia,2004,AUS,80.89,
586,Australia,2005,AUS,81.31,
587,Australia,2006,AUS,81.5,
588,Australia,2007,AUS,81.54,
589,Australia,2008,AUS,81.49,
590,Australia,2009,AUS,81.94,
591,Australia,2010,AUS,81.8,
592,Australia,2011,AUS,82.0,
593,Austria,1870,AUT,34.4,
594,Austria,1881,AUT,35.0,
595,Austria,1891,AUT,37.3,
596,Austria,1901,AUT,42.0,
597,Austria,1903,AUT,40.1,
598,Austria,1911,AUT,45.1,
599,Austria,1931,AUT,56.452,
600,Austria,1947,AUT,61.3,
601,Austria,1948,AUT,63.24,
602,Austria,1949,AUT,63.42,
603,Austria,1950,AUT,64.85,
604,Austria,1951,AUT,65.23,
605,Austria,1952,AUT,66.76,
606,Austria,1953,AUT,67.25,
607,Austria,1954,AUT,67.29,
608,Austria,1955,AUT,67.56,
609,Austria,1956,AUT,67.68,
610,Austria,1957,AUT,67.44,
611,Austria,1958,AUT,68.46,
612,Austria,1959,AUT,68.39,
613,Austria,1960,AUT,68.75,
614,Austria,1961,AUT,69.72,
615,Austria,1962,AUT,69.5,
616,Austria,1963,AUT,69.64,
617,Austria,1964,AUT,70.13,
618,Austria,1965,AUT,69.93,
619,Austria,1966,AUT,70.24,
620,Austria,1967,AUT,70.12,
621,Austria,1968,AUT,70.27,
622,Austria,1969,AUT,70.04,
623,Austria,1970,AUT,70.09,
624,Austria,1971,AUT,70.3,
625,Austria,1972,AUT,70.62,
626,Austria,1973,AUT,71.2,
627,Austria,1974,AUT,71.18,
628,Austria,1975,AUT,71.32,
629,Austria,1976,AUT,71.8,
630,Austria,1977,AUT,72.15,
631,Austria,1978,AUT,72.21,
632,Austria,1979,AUT,72.55,
633,Austria,1980,AUT,72.69,
634,Austria,1981,AUT,72.99,
635,Austria,1982,AUT,73.15,
636,Austria,1983,AUT,73.22,
637,Austria,1984,AUT,73.77,
638,Austria,1985,AUT,73.99,
639,Austria,1986,AUT,74.46,
640,Austria,1987,AUT,74.91,
641,Austria,1988,AUT,75.38,
642,Austria,1989,AUT,75.47,
643,Austria,1990,AUT,75.74,
644,Austria,1991,AUT,75.8,
645,Austria,1992,AUT,76.0,
646,Austria,1993,AUT,76.23,
647,Austria,1994,AUT,76.55,
648,Austria,1995,AUT,76.78,
649,Austria,1996,AUT,77.04,
650,Austria,1997,AUT,77.43,
651,Austria,1998,AUT,77.79,
652,Austria,1999,AUT,77.97,
653,Austria,2000,AUT,78.24,
654,Austria,2001,AUT,78.73,
655,Austria,2002,AUT,78.87,
656,Austria,2003,AUT,78.86,
657,Austria,2004,AUT,79.38,
658,Austria,2005,AUT,79.54,
659,Austria,2006,AUT,79.99,
660,Austria,2007,AUT,80.19,
661,Austria,2008,AUT,80.39,
662,Austria,2009,AUT,80.23,
663,Austria,2010,AUT,80.5,
664,Austria,2011,AUT,81.1,
665,Azerbaijan,1950,AZE,57.959,
666,Azerbaijan,1951,AZE,57.959,
667,Azerbaijan,1952,AZE,57.959,
668,Azerbaijan,1953,AZE,57.959,
669,Azerbaijan,1954,AZE,57.959,
670,Azerbaijan,1955,AZE,60.006,
671,Azerbaijan,1956,AZE,60.006,
672,Azerbaijan,1957,AZE,60.006,
673,Azerbaijan,1958,AZE,60.006,
674,Azerbaijan,1959,AZE,60.006,
675,Azerbaijan,1960,AZE,62.053,
676,Azerbaijan,1961,AZE,62.053,
677,Azerbaijan,1962,AZE,62.053,
678,Azerbaijan,1963,AZE,62.053,
679,Azerbaijan,1964,AZE,62.053,
680,Azerbaijan,1965,AZE,64.087,
681,Azerbaijan,1966,AZE,64.087,
682,Azerbaijan,1967,AZE,64.087,
683,Azerbaijan,1968,AZE,64.087,
684,Azerbaijan,1969,AZE,64.087,
685,Azerbaijan,1970,AZE,65.602,
686,Azerbaijan,1971,AZE,65.602,
687,Azerbaijan,1972,AZE,65.602,
688,Azerbaijan,1973,AZE,65.602,
689,Azerbaijan,1974,AZE,65.602,
690,Azerbaijan,1975,AZE,65.14,
691,Azerbaijan,1976,AZE,65.14,
692,Azerbaijan,1977,AZE,65.14,
693,Azerbaijan,1978,AZE,65.14,
694,Azerbaijan,1979,AZE,65.14,
695,Azerbaijan,1980,AZE,64.994,
696,Azerbaijan,1981,AZE,64.994,
697,Azerbaijan,1982,AZE,64.994,
698,Azerbaijan,1983,AZE,64.994,
699,Azerbaijan,1984,AZE,64.994,
700,Azerbaijan,1985,AZE,66.097,
701,Azerbaijan,1986,AZE,66.097,
702,Azerbaijan,1987,AZE,66.097,
703,Azerbaijan,1988,AZE,66.097,
704,Azerbaijan,1989,AZE,66.097,
705,Azerbaijan,1990,AZE,63.793,
706,Azerbaijan,1991,AZE,63.793,
707,Azerbaijan,1992,AZE,63.793,
708,Azerbaijan,1993,AZE,63.793,
709,Azerbaijan,1994,AZE,63.793,
710,Azerbaijan,1995,AZE,65.994,
711,Azerbaijan,1996,AZE,65.994,
712,Azerbaijan,1997,AZE,65.994,
713,Azerbaijan,1998,AZE,65.994,
714,Azerbaijan,1999,AZE,65.994,
715,Azerbaijan,2000,AZE,67.751,
